FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
638cfec7ec559d6e,Brandon Thatch,"6'2""",170,74,1985,2.7,0.42,3.63,0.52,1.36,0.66,0.5,0.7,2,5,-3,-1
57bf89d42364d39e,Issei Tamura,"5'5""",135,63,1984,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0,1,2,-1,-1
1ff10dee2f7ae60c,Haven Torres,,125,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
64788ee44b062ded,Michinori Tanaka,"5'5""",135,67,1990,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,2,3,-1,-1
9de7c97e1c0d7927,Masanori Tonooka,"5'8""",185,,  --,0.16,0.05,1.09,0.36,0,0,0,0,0,1,-1,-1
da816417a579a0bd,Gavin Tucker,"5'6""",145,66,1986,4.29,0.44,4.18,0.57,3.13,0.44,0.53,1.5,4,3,1,-1
0112352cb32f5026,Denis Tiuliulin,"6'1""",185,77,1988,5.04,0.41,5.83,0.4,0,0,0.69,0,1,3,-2,-1
cbf1c7ba5408a66f,Salim Touahri,"5'10""",170,72,1989,2.6,0.46,2.87,0.58,0,0,0.83,0,0,3,-3,-1
681d07e328798ec0,Jeremy Tavares,,135,,  --,0,0,0,0,0,0,0,0,0,2,-2,-1
e4e0f310b3cf23a8,Alex Torres,"5'10""",145,,1988,2.47,0.37,2.73,0.69,2,0.22,0.5,0,0,1,-1,-1
b96619b3acd7d9da,Miesha Tate,"5'6""",135,65,1986,2.61,0.44,3.1,0.51,1.88,0.29,0.55,1.3,12,8,4,-1
c15fa95b9a12fde4,Junior Tafa,"6'3""",240,75,1996,1.83,0.4,0.55,0.76,0,0,0.84,0,1,1,0,1
61d6368013f8637f,Herman Terrado,,170,,  --,0,0,0,0,0,0,0,0,2,0,2,2
0cf9f5518d6063bb,Angelo Trevino,"5'11""",170,,1993,5.19,0.54,3.9,0.47,0,0,1,0,0,1,-1,-1
